ReferenceCodeProduct;ReferenceCodeCombination;Name;Category;Size;Color;HexaColor;Price;Weight;Quantity;Description;ShortDescription;Active;MetaKeyword;MetaDescription;MetaTitle
RSC14LM0601002;0014L020006;POLO KLOK.2 SS MISTY;RSCH,MALE,SHIRTS,2;S;MISTY;#000000;130000;1;5;POLO KLOK.2 SS MISTY;POLO KLOK.2 SS MISTY;0;RSCH MALE SHIRTSPOLO KLOK.2 SS MISTY;RSCH MALE SHIRTSPOLO KLOK.2 SS MISTY;RSCH-MALE-SHIRTSPOLO-KLOK.2-SS-MISTY
RSC14LM0601002;0014L020007;POLO KLOK.2 SS MISTY;RSCH,MALE,SHIRTS,2;M;MISTY;#000000;130000;1;15;POLO KLOK.2 SS MISTY;POLO KLOK.2 SS MISTY;0;RSCH MALE SHIRTSPOLO KLOK.2 SS MISTY;RSCH MALE SHIRTSPOLO KLOK.2 SS MISTY;RSCH-MALE-SHIRTSPOLO-KLOK.2-SS-MISTY
RSC14LM0601002;0014L020008;POLO KLOK.2 SS MISTY;RSCH,MALE,SHIRTS,2;L;MISTY;#000000;130000;1;10;POLO KLOK.2 SS MISTY;POLO KLOK.2 SS MISTY;0;RSCH MALE SHIRTSPOLO KLOK.2 SS MISTY;RSCH MALE SHIRTSPOLO KLOK.2 SS MISTY;RSCH-MALE-SHIRTSPOLO-KLOK.2-SS-MISTY
RSC14LM0601002;0014L020009;POLO KLOK.2 SS MISTY;RSCH,MALE,SHIRTS,2;XL;MISTY;#000000;130000;1;3;POLO KLOK.2 SS MISTY;POLO KLOK.2 SS MISTY;0;RSCH MALE SHIRTSPOLO KLOK.2 SS MISTY;RSCH MALE SHIRTSPOLO KLOK.2 SS MISTY;RSCH-MALE-SHIRTSPOLO-KLOK.2-SS-MISTY
RSC14LM0601003;0014L020016;POLO KLAVE.2 SS DRK PURPLE;RSCH,MALE,SHIRTS,2;S;PURPLE;#000000;130000;1;6;POLO KLAVE.2 SS DRK PURPLE;POLO KLAVE.2 SS DRK PURPLE;0;RSCH MALE SHIRTSPOLO KLAVE.2 SS DRK PURPLE;RSCH MALE SHIRTSPOLO KLAVE.2 SS DRK PURPLE;RSCH-MALE-SHIRTSPOLO-KLAVE.2-SS-DRK-PURPLE
RSC14LM0601003;0014L020017;POLO KLAVE.2 SS DRK PURPLE;RSCH,MALE,SHIRTS,2;M;PURPLE;#000000;130000;1;12;POLO KLAVE.2 SS DRK PURPLE;POLO KLAVE.2 SS DRK PURPLE;0;RSCH MALE SHIRTSPOLO KLAVE.2 SS DRK PURPLE;RSCH MALE SHIRTSPOLO KLAVE.2 SS DRK PURPLE;RSCH-MALE-SHIRTSPOLO-KLAVE.2-SS-DRK-PURPLE
RSC14LM0601003;0014L020018;POLO KLAVE.2 SS DRK PURPLE;RSCH,MALE,SHIRTS,2;L;PURPLE;#000000;130000;1;10;POLO KLAVE.2 SS DRK PURPLE;POLO KLAVE.2 SS DRK PURPLE;0;RSCH MALE SHIRTSPOLO KLAVE.2 SS DRK PURPLE;RSCH MALE SHIRTSPOLO KLAVE.2 SS DRK PURPLE;RSCH-MALE-SHIRTSPOLO-KLAVE.2-SS-DRK-PURPLE
RSC14LM0601003;0014L020019;POLO KLAVE.2 SS DRK PURPLE;RSCH,MALE,SHIRTS,2;XL;PURPLE;#000000;130000;1;3;POLO KLAVE.2 SS DRK PURPLE;POLO KLAVE.2 SS DRK PURPLE;0;RSCH MALE SHIRTSPOLO KLAVE.2 SS DRK PURPLE;RSCH MALE SHIRTSPOLO KLAVE.2 SS DRK PURPLE;RSCH-MALE-SHIRTSPOLO-KLAVE.2-SS-DRK-PURPLE
RSC14LM0601004;0014L040083;POLO KEIN SS GREEN TOSCA;RSCH,MALE,SHIRTS,2;S;TOSCA;#000000;130000;1;5;POLO KEIN SS GREEN TOSCA;POLO KEIN SS GREEN TOSCA;0;RSCH MALE SHIRTSPOLO KEIN SS GREEN TOSCA;RSCH MALE SHIRTSPOLO KEIN SS GREEN TOSCA;RSCH-MALE-SHIRTSPOLO-KEIN-SS-GREEN-TOSCA
RSC14LM0601004;0014L040084;POLO KEIN SS GREEN TOSCA;RSCH,MALE,SHIRTS,2;M;TOSCA;#000000;130000;1;10;POLO KEIN SS GREEN TOSCA;POLO KEIN SS GREEN TOSCA;0;RSCH MALE SHIRTSPOLO KEIN SS GREEN TOSCA;RSCH MALE SHIRTSPOLO KEIN SS GREEN TOSCA;RSCH-MALE-SHIRTSPOLO-KEIN-SS-GREEN-TOSCA
