BT0070;1803174;Niion;Sling Bag;BITT MAROON;ALL SIZE;MAROON;#800000;129000;0.3;0;-;-;1
BT0071;1803175;Niion;Sling Bag;BITT MAGENTA;ALL SIZE;MAGENTA;#f049a3;129000;0.3;0;-;-;1
BT0072;1803176;Niion;Sling Bag;BITT YELLOW;ALL SIZE;YELLOW;#ffe100;129000;0.3;0;-;-;1
BT0073;1803177;Niion;Sling Bag;BITT TOSCA;ALL SIZE;TOSCA;#2ed1a2;129000;0.3;0;-;-;1
BT0074;1803178;Niion;Sling Bag;BITT FOREST GREEN;ALL SIZE;FOREST GREEN;#213612;129000;0.3;0;-;-;1
BT0075;1803179;Niion;Sling Bag;BITT LIGHT GREY;ALL SIZE;LIGHT GREY;#cccccc;129000;0.3;0;-;-;1
BT0076;1803180;Niion;Sling Bag;BITT DESERT;ALL SIZE;DESERT;#a8946f;129000;0.3;0;-;-;1
BTP0077;1803181;Niion;Sling Bag;BITT PATTERN METROPIXEL;ALL SIZE;METROPIXEL;#000000;159000;0.3;0;-;-;1
BTP0078;1803182;Niion;Sling Bag;BITT PATTERN TROPICALISTIC;ALL SIZE;TROPICALISTIC;#000000;159000;0.3;0;-;-;1
BTP0079;1803183;Niion;Sling Bag;BITT PATTERN DOODLEDOO;ALL SIZE;DOODLEDOO;#000000;159000;0.3;0;-;-;1
LL0080;1803184;Niion;Sling Bag;LULU BLACK;ALL SIZE;BLACK;#000000;159000;0.4;0;-;-;1
LL0081;1803185;Niion;Sling Bag;LULU MAGENTA;ALL SIZE;MAGENTA;#f049a3;159000;0.4;0;-;-;1
LL0082;1803186;Niion;Sling Bag;LULU OCEAN BLUE;ALL SIZE;OCEAN BLUE;#70d1ff;159000;0.4;0;-;-;1
LL0083;1803187;Niion;Sling Bag;LULU TOSCA;ALL SIZE;TOSCA;#2ed1a2;159000;0.4;0;-;-;1
LL0084;1803188;Niion;Sling Bag;LULU YELLOW;ALL SIZE;YELLOW;#ffe100;159000;0.4;0;-;-;1
NT140085;1803189;Niion;Notebook Case;"NOTLET 14"" BLACK";ALL SIZE;BLACK;#000000;219000;0.5;0;-;-;1
NT140086;1803190;Niion;Notebook Case;"NOTLET 14"" NAVY BLUE";ALL SIZE;NAVY BLUE;#0e1F35;219000;0.5;0;-;-;1
NT140087;1803191;Niion;Notebook Case;"NOTLET 14"" MEDIUM BLUE";ALL SIZE;MEDIUM BLUE;#0059e8;219000;0.5;0;-;-;1
NT140088;1803192;Niion;Notebook Case;"NOTLET 14"" DESERT";ALL SIZE;DESERT;#a8946f;219000;0.5;0;-;-;1
NT140089;1803193;Niion;Notebook Case;"NOTLET 14"" FOREST GREEN";ALL SIZE;FOREST GREEN;#213612;219000;0.5;0;-;-;1
NT140090;1803194;Niion;Notebook Case;"NOTLET 14"" RED";ALL SIZE;RED;#d12525;219000;0.5;0;-;-;1
NT140091;1803195;Niion;Notebook Case;"NOTLET 14"" MAGENTA";ALL SIZE;MAGENTA;#f049a3;219000;0.5;0;-;-;1
NTP140092;1803196;Niion;Notebook Case;"NOTLET PATTERN 14"" METROPIXEL";ALL SIZE;METROPIXEL;#000000;279000;0.5;0;-;-;1
NTP140093;1803197;Niion;Notebook Case;"NOTLET PATTERN 14"" TROPICALISTIC";ALL SIZE;TROPICALISTIC;#000000;279000;0.5;0;-;-;1
NTP140094;1803198;Niion;Notebook Case;"NOTLET PATTERN 14"" DOODLEDOO";ALL SIZE;DOODLEDOO;#000000;279000;0.5;0;-;-;1
NT110095;1803199;Niion;Notebook Case;"NOTLET 11"" BLACK";ALL SIZE;BLACK;#000000;219000;0.5;0;-;-;1
NT110096;18031100;Niion;Notebook Case;"NOTLET 11"" NAVY BLUE";ALL SIZE;NAVY BLUE;#0e1F35;219000;0.5;0;-;-;1
NT110097;18031101;Niion;Notebook Case;"NOTLET 11"" MEDIUM BLUE";ALL SIZE;MEDIUM BLUE;#0059e8;219000;0.5;0;-;-;1
NT110098;18031102;Niion;Notebook Case;"NOTLET 11"" DESERT";ALL SIZE;DESERT;#a8946f;219000;0.5;0;-;-;1
NT110099;18031103;Niion;Notebook Case;"NOTLET 11"" FOREST GREEN";ALL SIZE;FOREST GREEN;#213612;219000;0.5;0;-;-;1
NT110100;18031104;Niion;Notebook Case;"NOTLET 11"" RED";ALL SIZE;RED;#d12525;219000;0.5;0;-;-;1
NT110101;18031105;Niion;Notebook Case;"NOTLET 11"" MAGENTA";ALL SIZE;MAGENTA;#f049a3;219000;0.5;0;-;-;1
MS0102;18031106;Niion;Backpack Bag;MINI SAILOR BLACK;ALL SIZE;BLACK;#000000;209000;0.5;0;-;-;1
MS0103;18031107;Niion;Backpack Bag;MINI SAILOR NAVY BLUE;ALL SIZE;NAVY BLUE;#0e1F35;209000;0.5;0;-;-;1
MS0104;18031108;Niion;Backpack Bag;MINI SAILOR MEDIUM BLUE;ALL SIZE;MEDIUM BLUE;#0059e8;209000;0.5;0;-;-;1
MS0105;18031109;Niion;Backpack Bag;MINI SAILOR RED;ALL SIZE;RED;#d12525;209000;0.5;0;-;-;1
MS0106;18031110;Niion;Backpack Bag;MINI SAILOR MAROON;ALL SIZE;MAROON;#800000;209000;0.5;0;-;-;1
MS0107;18031111;Niion;Backpack Bag;MINI SAILOR DARK GREY;ALL SIZE;DARK GREY;#555555;209000;0.5;0;-;-;1
MS0108;18031112;Niion;Backpack Bag;MINI SAILOR YELLOW;ALL SIZE;YELLOW;#ffe100;209000;0.5;0;-;-;1
MS0109;18031113;Niion;Backpack Bag;MINI SAILOR GREEN;ALL SIZE;GREEN;#00800;209000;0.5;0;-;-;1
MS0110;18031114;Niion;Backpack Bag;MINI SAILOR NEON SPOTLIGHT ;ALL SIZE;NEON SPOTLIGHT ;#39ff14;209000;0.5;0;-;-;1
BN0111;18031115;Niion;Backpack Bag;BONO BLACK;ALL SIZE;BLACK;#000000;249000;0.5;0;-;-;1
BN0112;18031116;Niion;Backpack Bag;BONO NAVY BLUE;ALL SIZE;NAVY BLUE;#0e1F35;249000;0.5;0;-;-;1
BN0113;18031117;Niion;Backpack Bag;BONO MAROON;ALL SIZE;MAROON;#800000;249000;0.5;0;-;-;1
BN0114;18031118;Niion;Backpack Bag;BONO LIGHT GREY;ALL SIZE;LIGHT GREY;#cccccc;249000;0.5;0;-;-;1
BN0115;18031119;Niion;Backpack Bag;BONO TOSCA;ALL SIZE;TOSCA;#2ed1a2;249000;0.5;0;-;-;1
BN0116;18031120;Niion;Backpack Bag;BONO MAGENTA;ALL SIZE;MAGENTA;#f049a3;249000;0.5;0;-;-;1
BN0117;18031121;Niion;Backpack Bag;BONO YELLOW;ALL SIZE;YELLOW;#ffe100;249000;0.5;0;-;-;1
BN0118;18031122;Niion;Backpack Bag;BONO DARK BROWN;ALL SIZE;DARK BROWN;#2c2416;249000;0.5;0;-;-;1
BN0119;18031123;Niion;Backpack Bag;BONO FOREST GREEN;ALL SIZE;FOREST GREEN;#213612;249000;0.5;0;-;-;1
PZ0120;18031124;Niion;Backpack Bag;PUZZLE BLACK;ALL SIZE;BLACK;#000000;239000;0.5;0;-;-;1
PZ0121;18031125;Niion;Backpack Bag;PUZZLE NAVY BLUE;ALL SIZE;NAVY BLUE;#0e1F35;239000;0.5;0;-;-;1
PZ0122;18031126;Niion;Backpack Bag;PUZZLE LIGHT GREY;ALL SIZE;LIGHT GREY;#cccccc;239000;0.5;0;-;-;1
PZ0123;18031127;Niion;Backpack Bag;PUZZLE MAROON;ALL SIZE;MAROON;#800000;239000;0.5;0;-;-;1
ANM0124;18031128;Niion;Backpack Bag;ANIMAL TOSCA;ALL SIZE;TOSCA;#2ed1a2;279000;0.5;0;-;-;1
ANM0125;18031129;Niion;Backpack Bag;ANIMAL WHITE;ALL SIZE;WHITE;#ffffff;279000;0.5;0;-;-;1
ANM0126;18031130;Niion;Backpack Bag;ANIMAL MAGENTA;ALL SIZE;MAGENTA;#f049a3;279000;0.5;0;-;-;1
ANM0127;18031131;Niion;Backpack Bag;ANIMAL OCEAN BLUE;ALL SIZE;OCEAN BLUE;#70d1ff;279000;0.5;0;-;-;1
JPS0128;18031132;Niion;Backpack Bag;JAPANESE RED;ALL SIZE;RED;#d12525;239000;0.5;0;-;-;1
JPS0129;18031133;Niion;Backpack Bag;JAPANESE YELLOW;ALL SIZE;YELLOW;#ffe100;239000;0.5;0;-;-;1
JPS0130;18031134;Niion;Backpack Bag;JAPANESE GREEN;ALL SIZE;GREEN;#00800;239000;0.5;0;-;-;1
CAL0131;18031135;Niion;Sling Bag;CALI NAVY BLUE;ALL SIZE;NAVY BLUE;#0e1F35;299000;0.5;0;-;-;1
CAL0132;18031136;Niion;Sling Bag;CALI DESERT;ALL SIZE;DESERT;#a8946f;299000;0.5;0;-;-;1
CAL0133;18031137;Niion;Sling Bag;CALI MAROON;ALL SIZE;MAROON;#800000;299000;0.5;0;-;-;1
CAL0134;18031138;Niion;Sling Bag;CALI MEDIUM BLUE;ALL SIZE;MEDIUM BLUE;#0059e8;299000;0.5;0;-;-;1
CAL0135;18031139;Niion;Sling Bag;CALI YELLOW;ALL SIZE;YELLOW;#ffe100;299000;0.5;0;-;-;1
