IDCarrier;IDDistrict;DistrictName;CityName;Price
1;2048;Kencong;Kab Jember;38000
1;2049;Kendahe;Kab Kepulauan Sangihe;75000
1;2050;Kendal ;Kab Ngawi;38000
1;2051;Kendal;Kab Kendal;20000
1;2052;Kendar;Kota Kendari;32000
1;2053;Kendari;Kota Kendari;32000
1;2054;Kendawangan;Kab Ketapang;53000
1;2055;Kendit;Kab Situbondo;38000
1;2056;Kendungan;Kab Ngawi;38000
1;2057;Kenduruan;Kab Tuban;32000
1;2058;Kenjeran;Kota Surabaya;16000
1;2059;Kenohan;Kab Kutai Kartanegara;102000
1;2060;Kenyam;Kab Jayawijaya;137000
1;2061;Keo Tengah;Kab Nagekeo;116000
1;2062;Kepahiang;Kab Kepahiang;33000
1;2063;Kepanjen;Kab Malang;30000
1;2064;Kepanjenkidul;Kota Blitar;30000
1;2065;Kepenuhan;Kab Rokan Hulu;48000
1;2066;Kepi;Kab Mappi;124000
1;2067;Kepil;Kab Wonosobo;27000
1;2068;Kepohbaru;Kab Bojonegoro;25000
1;2069;Kepulauan Ayau;Kab Raja Ampat;143000
1;2070;Kepulauan Padaidio;Kab Biak Numfor;137000
1;2071;Kepulauan Seribu Selatan;Kota Administrasi Kepulauan Seribu;9000
1;2072;Kepulauan Seribu Utara;Kota Administrasi Kepulauan Seribu;9000
1;2073;Kepung;Kab Kediri;30000
1;2074;Kerajaan;Kab Pakpak Barat;53000
1;2075;Kerambitan;Kab Tabanan;32000
1;2076;Kerek;Kab Tuban;32000
1;2077;Kerinci Kanan;Kab Siak;48000
1;2078;Keritang;Kab Indragiri Hilir;72000
1;2079;Kerjo;Kab Karang Anyar;25000
1;2080;Kerkap;Kab Bengkulu Utara;42000
1;2081;Kersamanah;Kab Garut;10000
1;2082;Kersana;Kab Brebes;25000
1;2083;Kertajati;Kab Majalengka;20000
1;2084;Kertak Hanyar;Kab Banjar;49000
1;2085;Kertanegara;Kab Purbalingga;25000
1;2086;Kertapati;Kota Palembang;18000
1;2087;Kertasari;Kab Bandung;6000
1;2088;Kertasemaya ;Kab Indramayu;20000
1;2089;Kertek;Kab Wonosobo;27000
1;2090;Kertosono;Kab Nganjuk;32000
1;2091;Keruak;Kab Lombok Timur;42000
1;2092;Kerumutan;Kab Palalawan;48000
1;2093;Kesamben ;Kab Blitar;38000
1;2094;Kesamben ;Kab Jombang;32000
1;2095;Kesambi;Kota Cirebon;10000
1;2096;Kesesi;Kab Pekalongan;25000
1;2097;Kesu;Kab Tana Toraja Utara;53000
1;2098;Kesugihan;Kab Cilacap;22000
1;2099;Ketahun;Kab Bengkulu Utara;42000
1;2100;Ketanggungan;Kab Brebes;25000
1;2101;Ketapang;Kab Ketapang;53000
1;2102;Ketapang;Kab Lampung Selatan;30000
1;2103;Ketapang;Kab Sampang;32000
1;2104;Ketol;Kab Aceh Tengah;57000
1;2105;Ketungau Hilir;Kab Sintang;53000
1;2106;Ketungau Hulu;Kab Sintang;53000
1;2107;Ketungau Tengah;Kab Sintang;53000
1;2108;Kewapante;Kab Sikka;116000
1;2109;Kiaracondong;Kota Bandung;6000
1;2110;Kiarapedes;Kab Purwakarta;10000
1;2111;Kibin;Kab Serang;15000
1;2112;Kie;Kab Timor Tengah Selatan;77000
1;2113;Kikim Barat;Kab Lahat;38000
1;2114;Kikim Selatan;Kab Lahat;38000
1;2115;Kikim Tengah;Kab Lahat;38000
1;2116;Kikim Timur;Kab Lahat;38000
1;2117;Kilo;Kab Dompu;63000
1;2118;Kimaam;Kab Merauke;137000
1;2119;Kinal;Kab Kaur;42000
1;2120;Kinali;Kab Pasaman Barat;47000
1;2121;Kindang;Kab Bulukumba;53000
1;2122;Kintamani ;Kab Bangli;32000
1;2123;Kintap;Kab Tanah Laut;49000
1;2124;Kintom;Kab Banggai;67000
1;2125;Kisam Tinggi;Kab Ogan Komering Ulu Selatan;38000
1;2126;Kisaran Barat;Kab Asahan;53000
1;2127;Kisaran;Kab Asahan;42000
1;2128;Kisaran Timur;Kab Asahan;53000
1;2129;Kismantoro ;Kab Wonogiri;25000
1;2130;Kiwirok;Kab Pegunungan Bintang;137000
1;2131;Klabang;Kab Bondowoso;38000
1;2132;Klakah;Kab Lumajang;38000
1;2133;Klambu;Kab Grobogan;25000
1;2134;Klamono;Kab Sorong;143000
1;2135;Klampis;Kab Bangkalan;32000
1;2136;Klangenan;Kab Cirebon;20000
1;2137;Klapanunggal ;Kab Bogor;10000
1;2138;Klari;Kab Karawang;10000
1;2139;Klaten;Kab Klaten;20000
1;2140;Klaten Selatan;Kab Klaten;25000
1;2141;Klaten Tengah;Kab Klaten;25000
1;2142;Klaten Utara;Kab Klaten;25000
1;2143;Kledung;Kab Temanggung;27000
1;2144;Klego;Kab Boyolali;25000
1;2145;Klirong;Kab Kebumen;27000
1;2146;Klojen;Kota Malang;20000
1;2147;Kluet Selatan;Kab Aceh Selatan;57000
1;2148;Kluet Tengah;Kab Aceh Selatan;57000
1;2149;Kluet Timur;Kab Aceh Selatan;57000
1;2150;Kluet Utara;Kab Aceh Selatan;57000
1;2151;Klungkung;Kab Klungkung;25000
1;2152;Koba;Kab Bangka Tengah;31000
1;2153;Kobakma;Kab Jayawijaya;137000
1;2154;Kobalima;Kab Belu;116000
1;2155;Kodeoha;Kab Kolaka Utara;72000
1;2156;Kodi Bangedo;Kab Sumba Barat Daya;116000
1;2157;Kodi;Kab Sumba Barat Daya;116000
1;2158;Kodi Utara;Kab Sumba Barat Daya;116000
1;2159;Kofiau;Kab Raja Ampat;143000
1;2160;Koja ;Kota Administrasi Jakarta Utara;9000
1;2161;Kokalukuna;Kab Kota Bau-Bau;57000
1;2162;Kokap;Kab Kulon Progo;25000
1;2163;Kokas;Kab Fak-Fak;143000
1;2164;Kokoda;Kab Sorong Selatan;143000
1;2165;Kokop;Kab Bangkalan;32000
1;2166;Kolaka;Kab Kolaka;57000
1;2167;Kolang;Kab Tapanuli Tengah;53000
1;2168;Kolono;Kab Konawe Utara/ Selatan;72000
1;2169;Komba;Kab Manggarai;116000
1;2170;Kombi;Kab Minahasa;75000
1;2171;Komodo;Kab Manggarai Barat;116000
1;2172;Konang;Kab Bangkalan;32000
1;2173;Konda;Kab Konawe Utara/ Selatan;72000
1;2174;Kongbeng ;Kab Kutai Timur;78000
1;2175;Kontunaga;Kab Muna;72000
1;2176;Kopang;Kab Lombok Tengah;42000
1;2177;Kopo;Kab Serang;15000
1;2178;Kormomolin;Kab Maluku Tenggara Barat;164000
1;2179;Kosambi /Salembaran jati;Kab Tangerang;10000
1;2180;Kota Agung;Kab Lahat;38000
1;2181;Kota Agung;Kab Tanggamus;30000
1;2182;Kota Baharu;Kab Aceh Singkil;57000
1;2183;Kota Bangun;Kab Kutai Kartanegara;68000
1;2184;Kota Barat;Kota Gorontalo;43000
1;2185;Kota Baru;Kab Kota Baru;25000
1;2186;Kota Baru;Kota Jambi;18000
1;2187;Kota Besi;Kab Kotawaringin Timur;62000
1;2188;Kota Gajah;Kab Lampung Tengah;38000
1;2189;Kota Juang;Kab Bireuen;57000
1;2190;Kota Kayu Agung;Kab Ogan Komering Ilir;30000
1;2191;Kota Manna;Kab Bengkulu Selatan;33000
1;2192;Kota Masohi;Kab Maluku Tengah;87000
1;2193;Kota Padang;Kab Rejang Lebong;42000
1;2194;Kota Pinang;Kab Labuhan Batu;53000
1;2195;Kota Selatan;Kota Gorontalo;43000
1;2196;Kota Timur;Kota Gorontalo;43000
1;2197;Kota Utara;Kota Gorontalo;43000
1;2198;Kota Waringin Lama;Kab Kotawaringin Barat;62000
1;2199;Kotaanyar;Kab Probolinggo;38000
1;2200;Kotabaru ;Kab Ende;77000
1;2201;Kotabaru ;Kab Karawang;10000
1;2202;Kotabumi;Kab Lampung Utara;30000
1;2203;Kotabumi Selatan;Kab Lampung Utara;38000
1;2204;Kotabumi Utara;Kab Lampung Utara;38000
1;2205;Kotabunan;Kab Bolaang Mongondow;75000
1;2206;Kotagede;Kota Yogyakarta;14000
1;2207;Kotamobagu;Kab Bolaang Mongondow;60000
1;2208;Kotanopan;Kab Mandailing Natal;53000
1;2209;Kotarih;Kab Serdang Bedagai;53000
1;2210;Koto Baru;Kab Dharmasraya;47000
1;2211;Koto Gasip;Kab Siak;48000
1;2212;Koto Parik Gadang Diateh;Kab Solok Selatan;47000
1;2213;Koto Tangah;Kota Padang;22000
1;2214;Koto Tujuh;Kab Sijunjung;47000
1;2215;Koto XI Tarusan;Kab Pesisir Selatan;47000
1;2216;Kot'olin;Kab Timor Tengah Selatan;77000
1;2217;Kouh;Kab Boven Digoel;137000
1;2218;Kradenan /menden;Kab Blora;25000
1;2219;Kradenan;Kab Grobogan;25000
1;2220;Kragan;Kab Rembang;25000
1;2221;Kragilan;Kab Serang;15000
1;2222;Kraksaan;Kab Probolinggo;38000
1;2223;Kramat Jati ;Kota Administrasi Jakarta Timur;9000
1;2224;Kramat;Kab Tegal;25000
1;2225;Kramatmulya;Kab Kuningan;20000
1;2226;Kramatwatu;Kab Serang;15000
1;2227;Kranggan;Kab Temanggung;27000
1;2228;Krangkeng;Kab Indramayu;20000
1;2229;Kras;Kab Kediri;30000
1;2230;Kraton ;Kab Pasuruan;30000
1;2231;Kraton ;Kota Yogyakarta;14000
1;2232;Krayan;Kab Nunukan;63000
1;2233;Krayan Selatan ;Kab Nunukan;63000
1;2234;Krejengan;Kab Probolinggo;38000
1;2235;Krembangan;Kota Surabaya;16000
1;2236;Krembung;Kab Sidoarjo;16000
1;2237;Kresek;Kab Tangerang;10000
1;2238;Kretek;Kab Bantul;25000
1;2239;Krian;Kab Sidoarjo;16000
1;2240;Kromengan;Kab Malang;38000
1;2241;Kronjo;Kab Tangerang;10000
1;2242;Kroya ;Kab Cilacap;22000
1;2243;Kroya;Kab Indramayu;20000
1;2244;Krucil;Kab Probolinggo;38000
1;2245;Krueng Barona Jaya;Kab Aceh Besar;57000
1;2246;Krueng Sabee/Calang;Kab Aceh Jaya;45000
1;2247;kuala Batee;Kab Aceh Barat Daya;57000
1;2248;Kuala Behe;Kab Landak;53000
1;2249;Kuala Indragiri;Kab Indragiri Hilir;72000
1;2250;Kuala;Kab Bireuen;57000
1;2251;Kuala;Kab Langkat;53000
1;2252;Kuala;Kab Nagan Raya;57000
1;2253;Kuala Kampar;Kab Palalawan;48000
1;2254;Kuala Kapuas;Kab Kapuas;49000
1;2255;Kuala Kencana;Kab Mimika;138000
1;2256;Kuala Kurun;Kab Gunung Mas;62000
1;2257;Kuala Mandor;Kab Kubu Raya;53000
1;2258;Kuala Pembuang;Kab Seruyan;49000
1;2259;Kuala Simpang;Kab Aceh Tamiang;45000
1;2260;Kualatungkal;Kab Tanjung Jabung Barat;41000
1;2261;Kualin;Kab Timor Tengah Selatan;77000
1;2262;Kualuh Hilir;Kab Labuhan Batu;53000
1;2263;Kualuh Hulu;Kab Labuhan Batu;53000
1;2264;Kualuh Leidong;Kab Labuhan Batu;53000
1;2265;Kualuh Selatan;Kab Labuhan Batu;53000
1;2266;Kuan Fatu;Kab Timor Tengah Selatan;77000
1;2267;Kuantan Hilir;Kab Kuantan Sengingi;48000
1;2268;Kuantan Mudik;Kab Kuantan Sengingi;48000
1;2269;Kuantan Tengah;Kab Kuantan Sengingi;48000
1;2270;Kuaro;Kab Paser;60000
1;2271;Kubu ;Kab Karangasem;32000
1;2272;Kubu ;Kab Pontianak;53000
1;2273;Kubu;Kab Rokan Hilir;72000
1;2274;Kubu Raya;Kab Kubu Raya;25000
1;2275;Kubung;Kab Solok;47000
1;2276;Kubutambahan ;Kab Buleleng;32000
1;2277;Kudu;Kab Jombang;32000
1;2278;Kudus;Kab Kudus;20000
1;2279;Kulawi;Kab Donggala;67000
1;2280;Kulisusu Barat;Kab Muna;72000
1;2281;Kulisusu;Kab Muna;72000
1;2282;Kulisusu Utara;Kab Muna;72000
1;2283;Kulo;Kab Sindenreng Rappang;53000
1;2284;Kumai;Kab Kotawaringin Barat;62000
1;2285;Kumpeh;Kab Muaro Jambi;52000
1;2286;Kumpeh Ulu;Kab Muaro Jambi;52000
1;2287;Kundur Barat;Kab Karimun;58000
1;2288;Kundur;Kab Karimun;46000
1;2289;Kundur Utara;Kab Karimun;58000
1;2290;Kunduran;Kab Blora;20000
1;2291;Kuningan;Kab Kuningan;16000
1;2292;Kunir;Kab Lumajang;38000
1;2293;Kunjang;Kab Kediri;30000
1;2294;Kuntodarussalam;Kab Rokan Hulu;72000
1;2295;Kupang Barat;Kab Kupang;61000
1;2296;Kupang;Kota Kupang;35000
1;2297;Kupang Tengah;Kab Kupang;61000
1;2298;Kupang Timur;Kab Kupang;61000
1;2299;Kupitan;Kab Sijunjung;47000
1;2300;Kuranji;Kota Padang;22000
1;2301;Kurau;Kab Tanah Laut;49000
1;2302;Kuri;Kab Teluk Bintuni;143000
1;2303;Kurik;Kab Merauke;137000
1;2304;Kurima;Kab Yahukimo;206000
1;2305;Kuripan ;Kab Barito Kuala;49000
1;2306;Kuripan ;Kab Lombok Barat;42000
1;2307;Kuripan ;Kab Probolinggo;38000
1;2308;Kurra;Kab Tana Toraja;53000
1;2309;Kurulu;Kab Jayawijaya;137000
1;2310;Kusambi;Kab Muna;72000
1;2311;Kusan Hilir ;Kab Tanah Bambu;49000
1;2312;Kusan Hulu;Kab Tanah Bambu;49000
1;2313;Kuta Alam;Kota Banda Aceh;30000
1;2314;Kuta Baro;Kab Aceh Besar;57000
1;2315;Kuta Blang;Kab Bireuen;57000
1;2316;Kuta Buluh;Kab Karo;53000
1;2317;Kuta Cot Glie;Kab Aceh Besar;57000
1;2318;Kuta;Kab Badung;18000
1;2319;Kuta Makmur;Kab Aceh Utara;57000
1;2320;Kuta Malaka;Kab Aceh Besar;57000
1;2321;Kuta Panjang;Kab Gayo Lues;57000
1;2322;Kuta Raja;Kota Banda Aceh;30000
1;2323;Kutacane;Kab Aceh Tenggara;45000
1;2324;Kutalimbaru;Kab Deli Serdang;53000
1;2325;Kutasari;Kab Purbalingga;25000
1;2326;Kutawaluya;Kab Karawang;13000
1;2327;Kute Panang;Kab Aceh Tengah;57000
1;2328;Kutoarjo;Kab Purworejo;27000
1;2329;Kutorejo;Kab Mojokerto;20000
1;2330;Kutowinangun;Kab Kebumen;27000
1;2331;Kuwarasan;Kab Kebumen;27000
1;2332;Kuwus;Kab Manggarai Barat;116000
1;2333;Kwadungan;Kab Ngawi;38000
1;2334;Kwandang;Kab Gorontalo Utara;61000
1;2335;Kwanyar;Kab Bangkalan;32000
1;2336;Labakkang;Kab Pangkajene Kepulauan;53000
1;2337;Labang;Kab Bangkalan;32000
1;2338;Labangka;Kab Sumbawa;63000
1;2339;Labu Api;Kab Lombok Barat;42000
1;2340;Labuan Amas Selatan;Kab Hulu Sungai Tengah;49000
1;2341;Labuan Amas Utara;Kab Hulu Sungai Tengah;49000
1;2342;Labuan Bajo;Kab Manggarai Barat;61000
1;2343;Labuan;Kab Pandeglang;15000
1;2344;Labuha;Kab Halmahera Selatan;97000
1;2345;Labuhan Badas;Kab Sumbawa;42000
1;2346;Labuhan Deli;Kab Deli Serdang;53000
1;2347;Labuhan Haji Barat;Kab Aceh Selatan;57000
1;2348;Labuhan Haji;Kab Aceh Selatan;57000
1;2349;Labuhan Haji;Kab Lombok Timur;42000
1;2350;Labuhan Haji Timur;Kab Aceh Selatan;57000
1;2351;Labuhan Maringgai;Kab Lampung Timur;38000
1;2352;Labuhan Ratu;Kab Lampung Timur;38000
1;2353;Ladongi;Kab Kolaka;72000
1;2354;Lae Parira;Kab Dairi;53000
1;2355;Lage;Kab Poso;67000
1;2356;Lagoi;Kab Bintan;43000
1;2357;Lagu Boti;Kab Toba Samosir;53000
1;2358;Lahat;Kab Lahat;30000
1;2359;Lahei;Kab Barito Utara;49000
1;2360;Lahewa;Kab Nias;80000
1;2361;Lahusa;Kab Nias Selatan;80000
1;2362;Lainea;Kab Konawe Utara/ Selatan;72000
1;2363;Lais;Kab Bengkulu Utara;42000
1;2364;Lais;Kab Musi Banyuasin;38000
1;2365;Lakarsantri;Kota Surabaya;16000
1;2366;Lakbok;KabCiamis;10000
1;2367;Lakudo;Kab Buton & Buton Utara;72000
1;2368;Lalabata;Kab Soppeng;53000
1;2369;Lamakmen;Kab Belu;77000
1;2370;Lamala;Kab Banggai;67000
1;2371;Lamandau;Kab Lamandau;62000
1;2372;Lamasi;Kab Luwu Utara;53000
1;2373;Lamba Leda;Kab Manggarai Timur;116000
1;2374;Lambadia;Kab Kolaka;72000
1;2375;Lambaleda;Kab Manggarai;116000
1;2376;Lambu;Kab Bima;42000
1;2377;Lambu Kibang;Kab Tulang Bawang;38000
1;2378;Lambuya;Kab Konawe;72000
1;2379;Lamongan;Kab Lamongan;25000
1;2380;Lampasio;Kab Toli-Toli;67000
1;2381;Lampihong;Kab Balangan;49000
1;2382;Lamuru;Kab Bone;53000
1;2383;Landasan Ulin;Kota Banjarbaru;25000
1;2384;Landono;Kab Konawe Utara/ Selatan;72000
1;2385;Langensari;Kota Banjar;8000
1;2386;Langgam;Kab Palalawan;72000
1;2387;Langgudu;Kab Bima;63000
1;2388;Langkahan;Kab Aceh Utara;57000
1;2389;Langkap lancar;KabCiamis;10000
